INSTNM,CITY,STATE,LAT,LON,X,Y
Coleman University,San Diego,CA,32.821962,-117.136493,-117.1365049,32.82196678
Western University of Health Sciences,Pomona,CA,34.058092,-117.747732,-117.7477441,34.05809689
Columbia College,Sonora,CA,38.030361,-120.387603,-120.3876159,38.03036611
Columbia College-Hollywood,Tarzana,CA,34.179596,-118.538394,-118.5384062,34.17960085
El Camino College-Compton Center,Compton,CA,33.876665,-118.209186,-118.2091982,33.87666984
Contra Costa College,San Pablo,CA,37.968623,-122.342386,-122.3423992,37.96862797
Cosumnes River College,Sacramento,CA,38.453836,-121.422971,-121.4229841,38.45384108
Crafton Hills College,Yucaipa,CA,34.039178,-117.101173,-117.101185,34.03918292
Cuesta College,San Luis Obispo,CA,35.331276,-120.742235,-120.7422477,35.33128084
Cuyamaca College,El Cajon,CA,32.743072,-116.941044,-116.9410559,32.74307678
Cypress College,Cypress,CA,33.827625,-118.023889,-118.0239011,33.82762984
De Anza College,Cupertino,CA,37.319176,-122.045365,-122.0453781,37.31918093
Dell'Arte International School of Physical Theatre,Blue Lake,CA,40.880924,-123.988808,-123.9888219,40.88092905
College of the Desert,Palm Desert,CA,33.732484,-116.38761,-116.3876218,33.73248892
Design Institute of San Diego,San Diego,CA,32.880926,-117.167374,-117.1673859,32.88093078
Diablo Valley College,Pleasant Hill,CA,37.968035,-122.069861,-122.0698742,37.96803999
Dominican University of California,San Rafael,CA,37.980014,-122.514654,-122.5146673,37.98001895
Dominican School of Philosophy & Theology,Berkeley,CA,37.881099,-122.264612,-122.2646252,37.88110396
East Los Angeles College,Monterey Park,CA,34.039205,-118.148384,-118.1483962,34.03920986
Elegance International,Hollywood,CA,34.100425,-118.338305,-118.3383172,34.10042986
Emperor's College of Traditional Oriental Medicine,Santa Monica,CA,34.0303,-118.4847,-118.4847122,34.03030484
Empire College,Santa Rosa,CA,38.467789,-122.728642,-122.7286553,38.46779398
Evergreen Valley College,San Jose,CA,37.301736,-121.766686,-121.7666991,37.30174095
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,CA,34.044209,-118.25993,-118.2599422,34.04421385
FIDM-Fashion Institute of Design & Merchandising-San Francisco,San Francisco,CA,37.786324,-122.406503,-122.4065162,37.78632895
FIDM-Fashion Institute of Design & Merchandising-Orange County,Irvine,CA,33.691963,-117.852254,-117.8522661,33.69196784
Fielding Graduate University,Santa Barbara,CA,34.42941,-119.717161,-119.7171735,34.42941481
Five Branches University,Santa Cruz,CA,36.964133,-121.998478,-121.9984911,36.96413791
Foothill College,Los Altos Hills,CA,37.361655,-122.127964,-122.1279771,37.36165993
Franciscan School of Theology,Oceanside,CA,33.232416,-117.320066,-117.320078,33.23242081
Fresno City College,Fresno,CA,36.767516,-119.795129,-119.7951417,36.76752104
Fresno Pacific University,Fresno,CA,36.725279,-119.731953,-119.7319657,36.72528404
Fuller Theological Seminary in California,Pasadena,CA,34.14778,-118.140261,-118.1402732,34.14778487
Fullerton College,Fullerton,CA,33.876794,-117.916986,-117.9169981,33.87679885
Gavilan College,Gilroy,CA,36.973274,-121.568174,-121.568187,36.97327894
Gemological Institute of America-Carlsbad,Carlsbad,CA,33.131313,-117.318765,-117.318777,33.1313178
Glendale Career College,Glendale,CA,34.149771,-118.254719,-118.2547312,34.14977587
Golden Gate University-San Francisco,San Francisco,CA,37.789208,-122.398785,-122.3987982,37.78921295
Golden West College,Huntington Beach,CA,33.733775,-118.003036,-118.0030481,33.73377983
Graduate Theological Union,Berkeley,CA,37.87554,-122.261847,-122.2618602,37.87554496
Grossmont College,El Cajon,CA,32.816077,-117.007292,-117.0073039,32.81608178
Hartnell College,Salinas,CA,36.673052,-121.668763,-121.668776,36.6730569
Harvey Mudd College,Claremont,CA,34.106137,-117.710594,-117.7106061,34.10614189
Holy Names University,Oakland,CA,37.802654,-122.18717,-122.1871832,37.80265896
Pacifica Graduate Institute,Carpinteria,CA,34.420464,-119.580264,-119.5802764,34.42046882
Humboldt State University,Arcata,CA,40.8741,-124.0814,-124.0814139,40.87410504
Humphreys University-Stockton and Modesto Campuses,Stockton,CA,38.011051,-121.316401,-121.3164141,38.01105605
Imperial Valley College,Imperial,CA,32.827563,-115.503903,-115.5039146,32.82756786
Institute for Business and Technology,Santa Clara,CA,37.368642,-121.969541,-121.9695541,37.36864694
Interior Designers Institute,Newport Beach,CA,33.641393,-117.865722,-117.8657341,33.64139783
Irvine Valley College,Irvine,CA,33.675079,-117.778575,-117.7785871,33.67508384
ITT Technical Institute-National City,National City,CA,32.661559,-117.106069,-117.1060809,32.66156376
ITT Technical Institute-San Dimas,San Dimas,CA,34.102405,-117.818401,-117.8184131,34.10240989
ITT Technical Institute-Orange,Orange,CA,33.779746,-117.89621,-117.8962221,33.77975085
Bellus Academy-El Cajon,El Cajon,CA,32.794827,-116.945728,-116.9457399,32.79483178
John F. Kennedy University,Pleasant Hill,CA,37.956616,-122.054761,-122.0547742,37.95662099
American Jewish University,Los Angeles,CA,34.128099,-118.471764,-118.4717762,34.12810385
Reedley College,Reedley,CA,36.605968,-119.45993,-119.4599426,36.60597305
Life Pacific College,San Dimas,CA,34.098705,-117.829388,-117.8294001,34.09870988
Argosy University-The Art Institute of California-San Diego,San Diego,CA,32.778278,-117.155395,-117.1554069,32.77828277
University of La Verne,La Verne,CA,34.10086,-117.772634,-117.7726461,34.10086489
Laguna College of Art and Design,Laguna Beach,CA,33.561448,-117.772564,-117.7725761,33.56145283
Laney College,Oakland,CA,37.796205,-122.262434,-122.2624472,37.79620996
Life Chiropractic College West,Hayward,CA,37.637639,-122.11627,-122.1162832,37.63764395
Lincoln Law School of Sacramento,Sacramento,CA,38.57219,-121.464271,-121.4642842,38.57219508
Lincoln University,Oakland,CA,37.804788,-122.269745,-122.2697582,37.80479296
Southern California Seminary,El Cajon,CA,32.803259,-116.900531,-116.9005429,32.80326378
La Sierra University,Riverside,CA,33.910704,-117.500054,-117.500066,33.91070888
Loma Linda University,Loma Linda,CA,34.051241,-117.260605,-117.260617,34.05124591
Long Beach City College,Long Beach,CA,33.831741,-118.135819,-118.1358312,33.83174584
Southern California University of Health Sciences,Whittier,CA,33.924638,-117.985447,-117.9854591,33.92464286
Los Angeles Harbor College,Wilmington,CA,33.784201,-118.28186,-118.2818722,33.78420582
Los Angeles Pierce College,Woodland Hills,CA,34.183949,-118.575071,-118.5750833,34.18395385
Los Angeles Southwest College,Los Angeles,CA,33.929586,-118.304674,-118.3046862,33.92959084
Los Angeles Trade Technical College,Los Angeles,CA,34.031907,-118.269447,-118.2694592,34.03191185
Los Angeles Valley College,Valley Glen,CA,34.176406,-118.421446,-118.4214582,34.17641086
The Master's University and Seminary,Santa Clarita,CA,34.38214,-118.517422,-118.5174343,34.38214488
Los Angeles City College,Los Angeles,CA,34.087301,-118.292169,-118.2921812,34.08730586
Los Angeles County College of Nursing and Allied Health,Los Angeles,CA,34.061605,-118.211418,-118.2114302,34.06160986
Los Angeles Mission College,Sylmar,CA,34.314944,-118.419087,-118.4190992,34.31494887
Los Medanos College,Pittsburg,CA,38.005552,-121.861122,-121.8611352,38.005557
Argosy University-The Art Institute of California-San Francisco,San Francisco,CA,37.780569,-122.413417,-122.4134302,37.78057394
Loyola Marymount University,Los Angeles,CA,33.97085,-118.415744,-118.4157562,33.97085484
Lu Ross Academy,Ventura,CA,34.278034,-119.293952,-119.2939644,34.27803882
MTI Business College Inc,Stockton,CA,38.007318,-121.308527,-121.3085401,38.00732305
MTI College,Sacramento,CA,38.661377,-121.342568,-121.3425812,38.6613821
Brightwood College-Sacramento,Sacramento,CA,38.644462,-121.380453,-121.3804662,38.64446709
Brightwood College-San Diego,San Diego,CA,32.821707,-117.133017,-117.1330289,32.82171178
Brightwood College-Vista,Vista,CA,33.17244,-117.220816,-117.2208279,33.17244481
College of Marin,Kentfield,CA,37.955014,-122.549936,-122.5499493,37.95501895
Marymount California University,Rancho Palos Verdes,CA,33.73463,-118.333404,-118.3334162,33.73463482
Mendocino College,Ukiah,CA,39.19119,-123.22903,-123.2290435,39.19119499
Menlo College,Atherton,CA,37.453475,-122.190797,-122.1908101,37.45347993
Merced College,Merced,CA,37.335348,-120.476726,-120.4767389,37.33535305
Merritt College,Oakland,CA,37.789088,-122.167335,-122.1673482,37.78909296
Mills College,Oakland,CA,37.782639,-122.18789,-122.1879032,37.78264396
MiraCosta College,Oceanside,CA,33.191231,-117.302283,-117.302295,33.19123581
Mission College,Santa Clara,CA,37.391323,-121.982174,-121.9821871,37.39132794
Brightwood College-North Hollywood,North Hollywood,CA,34.182673,-118.396131,-118.3961432,34.18267786
Modesto Junior College,Modesto,CA,37.652042,-121.009723,-121.009736,37.65204704
Middlebury Institute of International Studies at Monterey,Monterey,CA,36.599827,-121.896813,-121.896826,36.59983188
Monterey Peninsula College,Monterey,CA,36.590826,-121.885774,-121.885787,36.59083088
Moorpark College,Moorpark,CA,34.300018,-118.836624,-118.8366363,34.30002285
Mt San Antonio College,Walnut,CA,34.043786,-117.8437,-117.8437121,34.04379088
Mount Saint Mary's University,Los Angeles,CA,34.082112,-118.480471,-118.4804832,34.08211685
