INSTNM,X,Y,CITY,STATE,INSTNM-2,Degree,Rank,LON,LAT
University of North Carolina at Chapel Hill,-79.05097174,35.91177609,Chapel Hill,NC,University of North Carolina at Chapel Hill,Business,19,-79.05097174,35.91177609
Harvard University,-71.11831361,42.37447967,Cambridge,MA,Harvard University,Education,1,-71.11831361,42.37447967
University of Pennsylvania,-75.19391178,39.95093706,Philadelphia,PA,University of Pennsylvania,Education,2,-75.19391178,39.95093706
Stanford University,-122.1644471,37.42953693,Stanford,CA,Stanford University,Education,3,-122.1644471,37.42953693
University of California-Los Angeles,-118.4439132,34.06889685,Los Angeles,CA,University of California-Los Angeles,Education,3,-118.4439132,34.06889685
University of Wisconsin-Madison,-89.4053624,43.07386595,Madison,WI,University of Wisconsin-Madison,Education,3,-89.4053624,43.07386595
Vanderbilt University,-86.80337404,36.14659683,Nashville,TN,Vanderbilt University,Education,6,-86.80337404,36.14659683
Johns Hopkins University,-76.62159719,39.32898489,Baltimore,MD,Johns Hopkins University,Education,7,-76.62159719,39.32898489
New York University,-73.99726545,40.72946026,New York,NY,New York University,Education,7,-73.99726545,40.72946026
Northwestern University,-87.67986378,42.05036388,Evanston,IL,Northwestern University,Education,10,-87.67986378,42.05036388
University of Michigan-Ann Arbor,-83.74277362,42.27592913,Ann Arbor,MI,University of Michigan-Ann Arbor,Education,11,-83.74277362,42.27592913
University of Southern California,-118.2841812,34.02128585,Los Angeles,CA,University of Southern California,Education,12,-118.2841812,34.02128585
University of Oregon,-123.0758063,44.04515134,Eugene,OR,University of Oregon,Education,14,-123.0758063,44.04515134
University of California-Berkeley,-122.2604762,37.87192296,Berkeley,CA,University of California-Berkeley,Education,18,-122.2604762,37.87192296
University of Kansas,-95.2475746,38.95855592,Lawrence,KS,University of Kansas,Education,18,-95.2475746,38.95855592
Virginia Commonwealth University,-77.45359934,37.54763849,Richmond,VA,Virginia Commonwealth University,Education,20,-77.45359934,37.54763849
Massachusetts Institute of Technology,-71.0921156,42.36010367,Cambridge,MA,Massachusetts Institute of Technology,Engineering,1,-71.0921156,42.36010367
Stanford University,-122.1644471,37.42953693,Stanford,CA,Stanford University,Engineering,2,-122.1644471,37.42953693
University of California-Berkeley,-122.2604762,37.87192296,Berkeley,CA,University of California-Berkeley,Engineering,3,-122.2604762,37.87192296
Carnegie Mellon University,-79.9429173,40.44462397,Pittsburgh,PA,Carnegie Mellon University,Engineering,4,-79.9429173,40.44462397
California Institute of Technology,-118.1257522,34.13927987,Pasadena,CA,California Institute of Technology,Engineering,5,-118.1257522,34.13927987
University of Michigan-Ann Arbor,-83.74277362,42.27592913,Ann Arbor,MI,University of Michigan-Ann Arbor,Engineering,5,-83.74277362,42.27592913
Purdue University-Main Campus,-86.9144404,40.42821364,West Lafayette,IN,Purdue University-Main Campus,Engineering,8,-86.9144404,40.42821364
University of Southern California,-118.2841812,34.02128585,Los Angeles,CA,University of Southern California,Engineering,9,-118.2841812,34.02128585
Cornell University,-76.48308636,42.44720849,Ithaca,NY,Cornell University,Engineering,14,-76.48308636,42.44720849
University of California-Los Angeles,-118.4439132,34.06889685,Los Angeles,CA,University of California-Los Angeles,Engineering,16,-118.4439132,34.06889685
Johns Hopkins University,-76.62159719,39.32898489,Baltimore,MD,Johns Hopkins University,Engineering,17,-76.62159719,39.32898489
Princeton University,-74.65936664,40.34874016,Princeton,NJ,Princeton University,Engineering,17,-74.65936664,40.34874016
University of Pennsylvania,-75.19391178,39.95093706,Philadelphia,PA,University of Pennsylvania,Engineering,17,-75.19391178,39.95093706
Northwestern University,-87.67986378,42.05036388,Evanston,IL,Northwestern University,Engineering,20,-87.67986378,42.05036388
University of North Carolina at Chapel Hill,-79.05097174,35.91177609,Chapel Hill,NC,University of North Carolina at Chapel Hill,Medicine,1,-79.05097174,35.91177609
University of California-San Francisco,-122.4580622,37.76274094,San Francisco,CA,University of California-San Francisco,Medicine,3,-122.4580622,37.76274094
Baylor College of Medicine,-95.39575001,29.71060519,Houston,TX,Baylor College of Medicine,Medicine,4,-95.39575001,29.71060519
University of California-Los Angeles,-118.4439132,34.06889685,Los Angeles,CA,University of California-Los Angeles,Medicine,5,-118.4439132,34.06889685
University of Michigan-Ann Arbor,-83.74277362,42.27592913,Ann Arbor,MI,University of Michigan-Ann Arbor,Medicine,6,-83.74277362,42.27592913
University of Nebraska Medical Center,-95.97397403,41.25631925,Omaha,NE,University of Nebraska Medical Center,Medicine,8,-95.97397403,41.25631925
University of California-Davis,-121.7519712,38.53990006,Davis,CA,University of California-Davis,Medicine,9,-121.7519712,38.53990006
University of Pennsylvania,-75.19391178,39.95093706,Philadelphia,PA,University of Pennsylvania,Medicine,10,-75.19391178,39.95093706
University of Wisconsin-Madison,-89.4053624,43.07386595,Madison,WI,University of Wisconsin-Madison,Medicine,16,-89.4053624,43.07386595
Harvard University,-71.11831361,42.37447967,Cambridge,MA,Harvard University,Medicine,17,-71.11831361,42.37447967
Dartmouth College,-72.28995008,43.70412388,Hanover,NH,Dartmouth College,Medicine,18,-72.28995008,43.70412388
University of Chicago,-87.60120173,41.78917784,Chicago,IL,University of Chicago,Medicine,18,-87.60120173,41.78917784
University of Texas Southwestern Medical Center,-96.84116354,32.81231274,Dallas,TX,University of Texas Southwestern Medical Center,Medicine,18,-96.84116354,32.81231274
Johns Hopkins University,-76.62159719,39.32898489,Baltimore,MD,Johns Hopkins University,Nursing,1,-76.62159719,39.32898489
Duke University,-78.93762671,36.00114212,Durham,NC,Duke University,Nursing,2,-78.93762671,36.00114212
University of Pennsylvania,-75.19391178,39.95093706,Philadelphia,PA,University of Pennsylvania,Nursing,3,-75.19391178,39.95093706
Emory University,-84.32551619,33.79018945,Atlanta,GA,Emory University,Nursing,4,-84.32551619,33.79018945
University of North Carolina at Chapel Hill,-79.05097174,35.91177609,Chapel Hill,NC,University of North Carolina at Chapel Hill,Nursing,5,-79.05097174,35.91177609
Yale University,-72.92668914,41.31116641,New Haven,CT,Yale University,Nursing,5,-72.92668914,41.31116641
Rush University,-87.66750376,41.87491885,Chicago,IL,Rush University,Nursing,8,-87.66750376,41.87491885
University of Michigan-Ann Arbor,-83.74277362,42.27592913,Ann Arbor,MI,University of Michigan-Ann Arbor,Nursing,8,-83.74277362,42.27592913
Vanderbilt University,-86.80337404,36.14659683,Nashville,TN,Vanderbilt University,Nursing,8,-86.80337404,36.14659683
New York University,-73.99726545,40.72946026,New York,NY,New York University,Nursing,12,-73.99726545,40.72946026
Case Western Reserve University,-81.6057729,41.50082009,Cleveland,OH,Case Western Reserve University,Nursing,16,-81.6057729,41.50082009
University of California-San Francisco,-122.4580622,37.76274094,San Francisco,CA,University of California-San Francisco,Nursing,18,-122.4580622,37.76274094
University of California-Los Angeles,-118.4439132,34.06889685,Los Angeles,CA,University of California-Los Angeles,Nursing,20,-118.4439132,34.06889685
Yale University,-72.92668914,41.31116641,New Haven,CT,Yale University,Fine Arts,1,-72.92668914,41.31116641
Virginia Commonwealth University,-77.45359934,37.54763849,Richmond,VA,Virginia Commonwealth University,Fine Arts,2,-77.45359934,37.54763849
School of the Art Institute of Chicago,-87.62141675,41.87965385,Chicago,IL,School of the Art Institute of Chicago,Fine Arts,4,-87.62141675,41.87965385
Alfred University,-77.78810876,42.2544844,Alfred,NY,Alfred University,Fine Arts,9,-77.78810876,42.2544844
Maryland Institute College of Art,-76.62103519,39.30879988,Baltimore,MD,Maryland Institute College of Art,Fine Arts,9,-76.62103519,39.30879988
Bard College,-73.9099285,42.02039451,Annandale-On-Hudson,NY,Bard College,Fine Arts,13,-73.9099285,42.02039451
California College of the Arts,-122.3994642,37.76748994,San Francisco,CA,California College of the Arts,Fine Arts,15,-122.3994642,37.76748994
Stanford University,-122.1644471,37.42953693,Stanford,CA,Stanford University,Fine Arts,15,-122.1644471,37.42953693
University of Wisconsin-Madison,-89.4053624,43.07386595,Madison,WI,University of Wisconsin-Madison,Fine Arts,15,-89.4053624,43.07386595
University of California-Los Angeles,-118.4439132,34.06889685,Los Angeles,CA,University of California-Los Angeles,Fine Arts,2,-118.4439132,34.06889685
Rhode Island School of Design,-71.40769267,41.82594356,Providence,RI,Rhode Island School of Design,Fine Arts,4,-71.40769267,41.82594356
Carnegie Mellon University,-79.9429173,40.44462397,Pittsburgh,PA,Carnegie Mellon University,Fine Arts,6,-79.9429173,40.44462397
Cranbrook Academy of Art,-83.2512445,42.56872421,Bloomfield Hills,MI,Cranbrook Academy of Art,Fine Arts,6,-83.2512445,42.56872421
California Institute of the Arts,-118.5673153,34.39334187,Valencia,CA,California Institute of the Arts,Fine Arts,9,-118.5673153,34.39334187
University of California-San Diego,-117.2378049,32.87660278,La Jolla,CA,University of California-San Diego,Fine Arts,13,-117.2378049,32.87660278
Temple University,-75.15826877,39.98095107,Philadelphia,PA,Temple University,Fine Arts,15,-75.15826877,39.98095107
University of North Carolina at Chapel Hill,-79.05097174,35.91177609,Chapel Hill,NC,University of North Carolina at Chapel Hill,Library and Information Studies,3,-79.05097174,35.91177609
University of Michigan-Ann Arbor,-83.74277362,42.27592913,Ann Arbor,MI,University of Michigan-Ann Arbor,Library and Information Studies,5,-83.74277362,42.27592913
Rutgers University-New Brunswick,-74.44625258,40.4987772,New Brunswick,NJ,Rutgers University-New Brunswick,Library and Information Studies,7,-74.44625258,40.4987772
Indiana University-Bloomington,-86.52690918,39.16639043,Bloomington,IN,Indiana University-Bloomington,Library and Information Studies,9,-86.52690918,39.16639043
Drexel University,-75.18874678,39.95486307,Philadelphia,PA,Drexel University,Library and Information Studies,11,-75.18874678,39.95486307
Simmons College,-71.0999676,42.33930867,Boston,MA,Simmons College,Library and Information Studies,12,-71.0999676,42.33930867
University of Wisconsin-Madison,-89.4053624,43.07386595,Madison,WI,University of Wisconsin-Madison,Library and Information Studies,14,-89.4053624,43.07386595
Syracuse University,-76.13697729,43.04018462,Syracuse,NY,Syracuse University,Library and Information Studies,4,-76.13697729,43.04018462
University of Maryland-College Park,-76.94472327,38.98818581,College Park,MD,University of Maryland-College Park,Library and Information Studies,8,-76.94472327,38.98818581
Florida State University,-84.29192502,30.44076171,Tallahassee,FL,Florida State University,Library and Information Studies,12,-84.29192502,30.44076171
University of California-Los Angeles,-118.4439132,34.06889685,Los Angeles,CA,University of California-Los Angeles,Library and Information Studies,14,-118.4439132,34.06889685
University of Wisconsin-Milwaukee,-87.88049395,43.07685604,Milwaukee,WI,University of Wisconsin-Milwaukee,Library and Information Studies,14,-87.88049395,43.07685604
University of Kentucky,-84.5047515,38.03891831,Lexington,KY,University of Kentucky,Library and Information Studies,20,-84.5047515,38.03891831
Indiana University-Bloomington,-86.52690918,39.16639043,Bloomington,IN,Indiana University-Bloomington,Public Affairs,1,-86.52690918,39.16639043
Harvard University,-71.11831361,42.37447967,Cambridge,MA,Harvard University,Public Affairs,3,-71.11831361,42.37447967
University of Georgia,-83.37404292,33.95626852,Athens,GA,University of Georgia,Public Affairs,5,-83.37404292,33.95626852
New York University,-73.99726545,40.72946026,New York,NY,New York University,Public Affairs,7,-73.99726545,40.72946026
University of Michigan-Ann Arbor,-83.74277362,42.27592913,Ann Arbor,MI,University of Michigan-Ann Arbor,Public Affairs,7,-83.74277362,42.27592913
University of Chicago,-87.60120173,41.78917784,Chicago,IL,University of Chicago,Public Affairs,10,-87.60120173,41.78917784
George Washington University,-77.0478733,38.89865779,Washington,DC,George Washington University,Public Affairs,14,-77.0478733,38.89865779
University of California-Los Angeles,-118.4439132,34.06889685,Los Angeles,CA,University of California-Los Angeles,Public Affairs,14,-118.4439132,34.06889685
Syracuse University,-76.13697729,43.04018462,Syracuse,NY,Syracuse University,Public Affairs,1,-76.13697729,43.04018462
University of Southern California,-118.2841812,34.02128585,Los Angeles,CA,University of Southern California,Public Affairs,3,-118.2841812,34.02128585
University of California-Berkeley,-122.2604762,37.87192296,Berkeley,CA,University of California-Berkeley,Public Affairs,7,-122.2604762,37.87192296
Princeton University,-74.65936664,40.34874016,Princeton,NJ,Princeton University,Public Affairs,10,-74.65936664,40.34874016
University of Minnesota-Twin Cities,-93.23535974,44.977894,Minneapolis,MN,University of Minnesota-Twin Cities,Public Affairs,10,-93.23535974,44.977894
American University,-77.09010831,38.93780979,Washington,DC,American University,Public Affairs,14,-77.09010831,38.93780979
Carnegie Mellon University,-79.9429173,40.44462397,Pittsburgh,PA,Carnegie Mellon University,Public Affairs,14,-79.9429173,40.44462397
University of Kansas,-95.2475746,38.95855592,Lawrence,KS,University of Kansas,Public Affairs,14,-95.2475746,38.95855592
Caribbean University-Bayamon,-66.1683133,18.38313889,Bayamon,PR,NULL,NULL,NULL,-66.1683133,18.38313889
Indiana University-South Bend,-86.22199631,41.66533189,South Bend,IN,NULL,NULL,NULL,-86.22199631,41.66533189
California Institute of Advanced Management,-118.0613052,34.07175287,El Monte,CA,NULL,NULL,NULL,-118.0613052,34.07175287
Fortis College-Smyrna,-84.48863224,33.90134146,Smyrna,GA,NULL,NULL,NULL,-84.48863224,33.90134146
Family of Faith Christian University,-96.90142073,35.46224022,Shawnee,OK,NULL,NULL,NULL,-96.90142073,35.46224022
Yeshivas Be'er Yitzchok,-74.21325651,40.68247324,Elizabeth,NJ,NULL,NULL,NULL,-74.21325651,40.68247324
Carolina Christian College,-80.25625512,36.1461751,Winston Salem,NC,NULL,NULL,NULL,-80.25625512,36.1461751
Polk State College,-81.71293519,28.03078021,Winter Haven,FL,NULL,NULL,NULL,-81.71293519,28.03078021
Southwestern Christian College,-96.28675439,32.73578375,Terrell,TX,NULL,NULL,NULL,-96.28675439,32.73578375
San Diego Mesa College,-117.1691769,32.80382977,San Diego,CA,NULL,NULL,NULL,-117.1691769,32.80382977
Academy of Palm Beach,-80.11311068,26.6310769,Lake Worth,FL,NULL,NULL,NULL,-80.11311068,26.6310769
Mercy College of Health Sciences,-93.62625843,41.59432745,Des Moines,IA,NULL,NULL,NULL,-93.62625843,41.59432745
Genesis Career College-Cookeville,-85.48557866,36.17649089,Cookeville,TN,NULL,NULL,NULL,-85.48557866,36.17649089
Newschool of Architecture and Design,-117.1533169,32.71331476,San Diego,CA,NULL,NULL,NULL,-117.1533169,32.71331476
Ponce Health Sciences University,-66.62034143,17.99324477,Ponce,PR,NULL,NULL,NULL,-66.62034143,17.99324477
CollegeAmerica-Flagstaff,-111.6576841,35.19450037,Flagstaff,AZ,NULL,NULL,NULL,-111.6576841,35.19450037
College of the Mainland,-94.99974589,29.39551913,Texas City,TX,NULL,NULL,NULL,-94.99974589,29.39551913
Old Dominion University,-76.30666195,36.8864254,Norfolk,VA,NULL,NULL,NULL,-76.30666195,36.8864254
Blue Cliff College-Fayetteville,-94.14449806,36.11393648,Fayetteville,AR,NULL,NULL,NULL,-94.14449806,36.11393648
Michigan School of Professional Psychology,-83.35957952,42.49143519,Farmington Hills,MI,NULL,NULL,NULL,-83.35957952,42.49143519
Youngstown State University,-80.64651857,41.10559107,Youngstown,OH,NULL,NULL,NULL,-80.64651857,41.10559107
Riverside City College,-117.380552,33.9714859,Riverside,CA,NULL,NULL,NULL,-117.380552,33.9714859
Fortis College-Cincinnati,-84.44497358,39.28331955,Cincinnati,OH,NULL,NULL,NULL,-84.44497358,39.28331955
Valley Grande Institute for Academic Studies,-97.99039853,26.15826037,Weslaco,TX,NULL,NULL,NULL,-97.99039853,26.15826037
Inter American University of Puerto Rico-School of Optometry,-66.1805123,18.35362688,Bayamon,PR,NULL,NULL,NULL,-66.1805123,18.35362688
Ohio Valley University,-81.53781171,39.31245469,Vienna,WV,NULL,NULL,NULL,-81.53781171,39.31245469
Kiamichi Technology Center-Atoka,-96.15320446,34.39545107,Atoka,OK,NULL,NULL,NULL,-96.15320446,34.39545107
University of Wisconsin Colleges,-89.39859639,43.06822195,Madison,WI,NULL,NULL,NULL,-89.39859639,43.06822195
Albion College,-84.74609292,42.24461107,Albion,MI,NULL,NULL,NULL,-84.74609292,42.24461107
Cooper Health System Center for Allied Health Education,-75.11647076,39.94153006,Camden,NJ,NULL,NULL,NULL,-75.11647076,39.94153006
Bais Medrash Elyon,-74.06979949,41.11408733,Monsey,NY,NULL,NULL,NULL,-74.06979949,41.11408733
Delta School of Business and Technology,-93.21429147,30.22874837,Lake Charles,LA,NULL,NULL,NULL,-93.21429147,30.22874837
American Institute-Margate,-80.1997407,26.2434338,Margate,FL,NULL,NULL,NULL,-80.1997407,26.2434338
St Vincent's College,-73.20110722,41.20120638,Bridgeport,CT,NULL,NULL,NULL,-73.20110722,41.20120638
American Jewish University,-118.4717762,34.12810385,Los Angeles,CA,NULL,NULL,NULL,-118.4717762,34.12810385
California State University-Chancellors Office,-118.2012672,33.76434283,Long Beach,CA,NULL,NULL,NULL,-118.2012672,33.76434283
Kalamazoo College,-85.60132219,42.29039004,Kalamazoo,MI,NULL,NULL,NULL,-85.60132219,42.29039004
Crafton Hills College,-117.101185,34.03918292,Yucaipa,CA,NULL,NULL,NULL,-117.101185,34.03918292
Tiffin University,-83.18355435,41.11920095,Tiffin,OH,NULL,NULL,NULL,-83.18355435,41.11920095
Dorsey Business Schools-Dearborn,-83.21936047,42.33066617,Detroit,MI,NULL,NULL,NULL,-83.21936047,42.33066617
Ashford University,-117.1419729,32.82730478,San Diego,CA,NULL,NULL,NULL,-117.1419729,32.82730478
Abdill Career College Inc,-122.8639379,42.32809025,Medford,OR,NULL,NULL,NULL,-122.8639379,42.32809025
Spring Hill College,-88.13820411,30.69475664,Mobile,AL,NULL,NULL,NULL,-88.13820411,30.69475664
Yeshiva Shaar Hatorah,-73.83430139,40.70386526,Kew Gardens,NY,NULL,NULL,NULL,-73.83430139,40.70386526
Florida Career College-Hialeah,-80.31929472,25.8555567,Hialeah,FL,NULL,NULL,NULL,-80.31929472,25.8555567
South Suburban College,-87.61912872,41.60643481,South Holland,IL,NULL,NULL,NULL,-87.61912872,41.60643481
Gwynedd Mercy University,-75.23660281,40.20281211,Gwynedd Valley,PA,NULL,NULL,NULL,-75.23660281,40.20281211
Brightwood College-San Antonio-San Pedro,-98.49711078,29.51282704,San Antonio,TX,NULL,NULL,NULL,-98.49711078,29.51282704
Virginia College-Jacksonville,-81.60329424,30.29163575,Jacksonville,FL,NULL,NULL,NULL,-81.60329424,30.29163575
Virginia College-Austin,-97.67124662,30.43190325,Austin,TX,NULL,NULL,NULL,-97.67124662,30.43190325
Kaplan University-Lincoln Campus,-96.69418917,40.80892213,Lincoln,NE,NULL,NULL,NULL,-96.69418917,40.80892213
California State University-San Marcos,-117.1590249,33.13057381,San Marcos,CA,NULL,NULL,NULL,-117.1590249,33.13057381
Gallipolis Career College,-82.25684589,38.84303056,Gallipolis,OH,NULL,NULL,NULL,-82.25684589,38.84303056
Advanced Training Associates,-116.9813779,32.81952878,El Cajon,CA,NULL,NULL,NULL,-116.9813779,32.81952878
National Personal Training Institute of Massachusetts,-71.23733165,42.38506867,Waltham,MA,NULL,NULL,NULL,-71.23733165,42.38506867
Argosy University-Schaumburg,-88.04208889,42.04674686,Schaumburg,IL,NULL,NULL,NULL,-88.04208889,42.04674686
Virginia University of Lynchburg,-79.15152086,37.3951424,Lynchburg,VA,NULL,NULL,NULL,-79.15152086,37.3951424
Columbia University in the City of New York,-73.96188644,40.80829428,New York,NY,NULL,NULL,NULL,-73.96188644,40.80829428
Northwest School of Wooden Boat Building,-122.7526031,48.03413559,Port Hadlock,WA,NULL,NULL,NULL,-122.7526031,48.03413559
ITT Technical Institute-Tampa,-82.54762143,27.98242218,Tampa,FL,NULL,NULL,NULL,-82.54762143,27.98242218
Concordia University-Texas,-97.83625466,30.42095724,Austin,TX,NULL,NULL,NULL,-97.83625466,30.42095724
ITT Technical Institute-High Point,-79.95817302,36.05109409,High Point,NC,NULL,NULL,NULL,-79.95817302,36.05109409
Triangle Tech Inc-Pittsburgh,-80.01266932,40.46199597,Pittsburgh,PA,NULL,NULL,NULL,-80.01266932,40.46199597
Thomas Jefferson School of Law,-117.1542029,32.71014476,San Diego,CA,NULL,NULL,NULL,-117.1542029,32.71014476
Weber State University,-111.9448568,41.19259708,Ogden,UT,NULL,NULL,NULL,-111.9448568,41.19259708
Chamberlain College of Nursing-Ohio,-82.94049718,39.94045674,Columbus,OH,NULL,NULL,NULL,-82.94049718,39.94045674
Aveda Institute-Provo,-111.6583466,40.236627,Provo,UT,NULL,NULL,NULL,-111.6583466,40.236627
Jamestown Business College,-79.24937621,42.09512631,Jamestown,NY,NULL,NULL,NULL,-79.24937621,42.09512631
University of Charleston,-81.61867066,38.33258449,Charleston,WV,NULL,NULL,NULL,-81.61867066,38.33258449
Napa Valley College,-122.2743943,38.274086,Napa,CA,NULL,NULL,NULL,-122.2743943,38.274086
University of Phoenix-Tennessee,-86.69073601,36.14478684,Nashville,TN,NULL,NULL,NULL,-86.69073601,36.14478684
Veeb Nassau County School of Practical Nursing,-73.5205703,40.76655628,Hicksville,NY,NULL,NULL,NULL,-73.5205703,40.76655628
Erskine College,-82.39080065,34.33068063,Due West,SC,NULL,NULL,NULL,-82.39080065,34.33068063
Argosy University-Chicago,-87.62377775,41.88601386,Chicago,IL,NULL,NULL,NULL,-87.62377775,41.88601386
Shippensburg University of Pennsylvania,-77.52290252,40.057413,Shippensburg,PA,NULL,NULL,NULL,-77.52290252,40.057413
Reinhardt University,-84.55466128,34.31888055,Waleska,GA,NULL,NULL,NULL,-84.55466128,34.31888055
Ecclesia College,-94.2366501,36.21410649,Springdale,AR,NULL,NULL,NULL,-94.2366501,36.21410649
Atlantis University,-80.18942268,25.78898269,Miami,FL,NULL,NULL,NULL,-80.18942268,25.78898269
University of Puerto Rico-Mayaguez,-67.13917059,18.21114482,Mayaguez,PR,NULL,NULL,NULL,-67.13917059,18.21114482
University of Louisiana at Monroe,-92.07374628,32.52775388,Monroe,LA,NULL,NULL,NULL,-92.07374628,32.52775388
Hamrick School,-81.72874591,41.13582002,Medina,OH,NULL,NULL,NULL,-81.72874591,41.13582002
Birthwise Midwifery School,-70.71419158,44.053332,Bridgton,ME,NULL,NULL,NULL,-70.71419158,44.053332
Make-up Designory,-118.3083482,34.18024287,Burbank,CA,NULL,NULL,NULL,-118.3083482,34.18024287
Indiana State University,-87.40709046,39.46873744,Terre Haute,IN,NULL,NULL,NULL,-87.40709046,39.46873744
Hope College,-86.10538139,42.78806009,Holland,MI,NULL,NULL,NULL,-86.10538139,42.78806009
Robert Morris University,-80.21047139,40.52042298,Moon Township,PA,NULL,NULL,NULL,-80.21047139,40.52042298
National Career Institute,-74.22209252,40.76137826,East Orange,NJ,NULL,NULL,NULL,-74.22209252,40.76137826
Carrington College-Pomona,-117.8038871,34.06302488,Pomona,CA,NULL,NULL,NULL,-117.8038871,34.06302488
Ashland County-West Holmes Career Center,-82.26681204,40.80102593,Ashland,OH,NULL,NULL,NULL,-82.26681204,40.80102593
Rensselaer Polytechnic Institute,-73.67876947,42.72899165,Troy,NY,NULL,NULL,NULL,-73.67876947,42.72899165
Regina Webb Academy,-86.42715599,36.95270701,Bowling Green,KY,NULL,NULL,NULL,-86.42715599,36.95270701
Arizona State University-Tempe,-111.934394,33.41772612,Tempe,AZ,NULL,NULL,NULL,-111.934394,33.41772612
All-State Career School-Allied Health Campus,-75.30215281,39.86617104,Essington,PA,NULL,NULL,NULL,-75.30215281,39.86617104
Columbia College Chicago,-87.62455975,41.87359685,Chicago,IL,NULL,NULL,NULL,-87.62455975,41.87359685
Tusculum College,-82.76171987,36.17256501,Greeneville,TN,NULL,NULL,NULL,-82.76171987,36.17256501
St. Joseph's College-New York,-73.96803844,40.69049325,Brooklyn,NY,NULL,NULL,NULL,-73.96803844,40.69049325
Colegio Tecnologico y Comercial de Puerto Rico,-67.18410861,18.37865787,Aguada,PR,NULL,NULL,NULL,-67.18410861,18.37865787
The Sage Colleges,-73.69371248,42.72822865,Troy,NY,NULL,NULL,NULL,-73.69371248,42.72822865
MedTech College,-86.0531921,39.89179858,Indianapolis,IN,NULL,NULL,NULL,-86.0531921,39.89179858
New England Tractor Trailer Training School of Massachusetts,-71.11598963,42.73082674,North Andover,MA,NULL,NULL,NULL,-71.11598963,42.73082674
San Francisco School of Digital Filmmaking,-122.4011372,37.79164795,San Francisco,CA,NULL,NULL,NULL,-122.4011372,37.79164795
University of New Orleans,-90.06851161,30.02854443,New Orleans,LA,NULL,NULL,NULL,-90.06851161,30.02854443
